date,equity,s1_qqq_tqqq,s2_spy_spxl,s3_gld,s1_state,s2_state
2001-04-12,103745.53,46887.77,46887.77,9969.98,cash,cash
2001-04-16,103899.27,46902.37,46902.37,10094.53,cash,cash
2001-04-17,103821.9,46909.67,46909.67,10002.55,cash,cash
2001-04-18,103846.08,46916.97,46916.97,10012.13,cash,cash
2001-04-19,104023.56,46924.28,46924.28,10175.01,cash,cash
2001-04-20,104005.59,46931.58,46931.58,10142.44,cash,cash
2001-04-23,103976.13,46938.88,46938.88,10098.36,cash,cash
2001-04-24,104021.4,46946.19,46946.19,10129.02,cash,cash
2001-04-25,103961.29,46953.5,46953.5,10054.29,cash,cash
2001-04-26,104044.89,46960.81,46960.81,10123.27,cash,cash
2001-04-27,104055.67,46968.12,46968.12,10119.44,cash,cash
2001-04-30,104070.29,46975.43,46975.43,10119.44,cash,cash
2001-05-01,104096.41,46982.74,46982.74,10130.94,cash,cash
2001-05-02,104149.36,46990.05,46990.05,10169.26,cash,cash
2001-05-03,104194.65,46997.36,46997.36,10199.92,cash,cash
2001-05-04,104209.28,47004.68,47004.68,10199.92,cash,cash
2001-05-07,104222.0,47012.0,47012.0,10198.01,cash,cash
2001-05-08,104192.56,47019.31,47019.31,10153.93,cash,cash
2001-05-09,104396.9,47026.63,47026.63,10343.64,cash,cash
2001-05-10,104377.05,47033.95,47033.95,10309.15,cash,cash
2001-05-11,104355.28,47041.27,47041.27,10272.74,cash,cash
2001-05-14,104387.17,47048.59,47048.59,10289.98,cash,cash
2001-05-15,104397.99,47055.92,47055.92,10286.15,cash,cash
2001-05-16,104558.27,47063.24,47063.24,10431.78,cash,cash
2001-05-17,104624.65,47070.57,47070.57,10483.52,cash,cash
2001-05-18,105129.85,47077.89,47077.89,10974.07,cash,cash
2001-05-21,105117.68,47085.22,47085.22,10947.24,cash,cash
2001-05-22,105117.01,47092.55,47092.55,10931.91,cash,cash
2001-05-23,105074.18,47099.88,47099.88,10874.42,cash,cash
2001-05-24,104916.39,47107.21,47107.21,10701.97,cash,cash
2001-05-25,104879.32,47114.54,47114.54,10650.23,cash,cash
2001-05-29,104755.35,47129.21,47129.21,10496.93,cash,cash
2001-05-30,104471.1,47136.55,47136.55,10198.01,cash,cash
2001-05-31,104483.86,47143.88,47143.88,10196.09,cash,cash
2001-06-01,104534.94,47151.22,47151.22,10232.5,cash,cash
2001-06-04,104494.05,47158.56,47158.56,10176.93,cash,cash
2001-06-05,104539.39,47165.9,47165.9,10207.59,cash,cash
2001-06-06,104550.24,47173.24,47173.24,10203.75,cash,cash
2001-06-07,104568.76,47180.58,47180.58,10207.59,cash,cash
2001-06-08,104857.46,47187.93,47187.93,10481.6,cash,cash
2001-06-11,104661.37,47195.27,47195.27,10270.82,cash,cash
2001-06-12,104823.61,47202.62,47202.62,10418.37,cash,cash
2001-06-13,104868.96,47209.97,47209.97,10449.03,cash,cash
2001-06-14,105002.46,47217.31,47217.31,10567.83,cash,cash
2001-06-15,104840.87,47224.66,47224.66,10391.54,cash,cash
2001-06-18,104928.39,47232.01,47232.01,10464.36,cash,cash
2001-06-19,104966.08,47239.37,47239.37,10487.35,cash,cash
2001-06-20,104942.47,47246.72,47246.72,10449.03,cash,cash
2001-06-21,104964.84,47254.07,47254.07,10456.69,cash,cash
2001-06-22,104969.97,47261.43,47261.43,10447.11,cash,cash
2001-06-25,105038.33,47268.78,47268.78,10500.77,cash,cash
2001-06-26,105139.28,47276.14,47276.14,10586.99,cash,cash
2001-06-27,105000.7,47283.5,47283.5,10433.7,cash,cash
2001-06-28,104904.28,47290.86,47290.86,10322.56,cash,cash
2001-06-29,104976.49,47298.22,47298.22,10380.04,cash,cash
