GLD_delta,GLD_pre,QQQ->TQQQ_delta,QQQ->TQQQ_pre,XLE->XLE_delta,XLE->XLE_pre,XLV->XLV_delta,XLV->XLV_pre,date,total_equity
-841.46,204994.81,50824.26,2858360.97,-2238.28,545286.19,-47744.52,474425.02,2015-03-02,4083066.99
6194.08,204012.16,-40701.48,3036140.4,16476.24,542672.36,18031.17,421299.87,2015-04-01,4204124.8
-4904.64,205623.89,43349.16,2816900.1,-13046.35,546959.55,-25398.17,444901.4,2015-05-01,4014384.94
-3604.35,202352.27,32087.98,2800069.88,-9587.56,538257.03,-18896.07,434279.23,2015-06-01,3974958.4
-3209.0,195226.25,26965.9,2709279.89,-8535.93,519301.81,-15220.97,416537.02,2015-07-01,3840344.97
21099.93,178505.05,-85932.01,2930302.94,56125.81,474823.43,8706.28,408468.13,2015-08-03,3992099.56
-11137.99,209383.9,9528.67,2815475.53,-29627.05,556961.16,31236.37,383097.58,2015-09-01,3964918.17
5552.78,193761.77,-31928.5,2872160.94,14770.4,515406.32,11605.32,404962.11,2015-10-01,3986291.14
24713.2,202788.04,-142100.91,3383993.62,65737.12,539416.19,51650.59,423827.01,2015-11-02,4550024.87
10848.35,214281.49,-62378.02,3270478.28,28856.61,569988.77,22673.05,447848.32,2015-12-01,4502596.86
-23537.54,226472.52,135340.85,2756482.65,-62609.85,602416.91,-49193.46,473327.57,2016-01-04,4058699.65
-18197.45,213112.3,104635.31,2672901.4,-48405.21,566878.73,-38032.66,445404.71,2016-02-01,3898297.15
-10296.39,212449.08,59204.23,2821471.59,-27388.39,565114.54,-21519.45,444018.57,2016-03-01,4043053.78
6320.63,200710.83,-36343.64,2986541.94,16812.89,533890.8,13210.12,419485.63,2016-04-01,4140629.19
-25091.83,218203.69,144278.02,2607565.95,-66744.27,580421.81,-52441.92,456045.7,2016-05-02,3862237.14
15767.0,181673.07,-55424.31,2868945.2,41940.21,483250.36,-2282.89,414932.62,2016-06-01,3948801.24
-27059.75,218675.85,116054.3,2614475.22,-71978.92,581677.77,-17015.63,417493.3,2016-07-01,3832322.13
31202.63,192824.81,-162406.03,3354796.93,82998.99,512913.98,48204.41,420012.92,2016-08-01,4480548.64
7563.89,217214.03,-48493.34,3251578.69,20119.95,577789.32,20809.51,448976.35,2016-09-01,4495558.39
8036.76,224831.74,-47884.21,3366260.4,21377.79,598052.43,18469.65,468225.52,2016-10-03,4657370.09
-6117.16,228055.79,55296.92,3107328.56,-16271.65,606628.4,-32908.11,496759.85,2016-11-01,4438772.6
16342.41,201703.21,21816.67,3085333.32,-72314.71,652316.04,34155.63,421559.71,2016-12-01,4360912.27
19905.35,215953.91,-93630.64,3454625.12,32123.1,595262.53,41602.19,451343.67,2017-01-03,4717185.22
15386.04,245958.06,-146715.26,3870868.71,99172.39,596002.92,32156.83,514052.35,2017-02-01,5226882.03
22017.27,270100.94,-115394.75,4278079.32,77535.93,699498.52,15841.54,594685.53,2017-03-01,5842364.31
3075.21,292829.74,-33927.53,4250573.04,14472.25,772634.91,16380.07,602061.27,2017-04-03,5918098.96
23125.09,296698.33,-124239.25,4681722.91,61512.74,789217.55,39601.42,628829.51,2017-05-01,6396468.29
21042.74,322629.59,-115819.31,5013149.96,55973.69,858194.7,38802.88,679472.29,2017-06-01,6873446.54
-16410.81,330491.39,147825.21,4327823.0,-43652.76,879107.09,-87761.63,744190.04,2017-07-03,6281611.52
26924.88,326417.62,-177872.72,5213003.29,71620.17,868270.87,79327.68,659158.14,2017-08-01,7066849.91
-1459.18,369186.53,-10642.02,5250756.82,-3881.41,982036.17,15982.61,752567.56,2017-09-01,7354547.09
