date,equity,QQQ->TQQQ_eq,QQQ->TQQQ_state,XLE->XLE_eq,XLE->XLE_state,XLV->XLV_eq,XLV->XLV_state,safety_gld,vix,vix_sma
2000-05-04,101162.99,71994.84,cash,13439.04,cash,10559.24,cash,5169.87,30.77,27.67
2000-05-05,101156.34,72006.04,cash,13441.13,cash,10560.89,cash,5148.28,27.53,27.69
2000-05-08,101128.28,72017.25,cash,13443.22,cash,10562.53,cash,5105.28,28.2,27.88
2000-05-09,101154.85,72028.46,cash,13445.31,cash,10564.17,cash,5116.91,28.93,28.02
2000-05-10,101179.03,72039.67,cash,13447.41,cash,10565.82,cash,5126.13,29.87,28.15
2000-05-11,101160.76,72050.88,cash,13449.5,cash,10567.46,cash,5092.91,27.76,28.09
2000-05-12,101179.4,72062.1,cash,13451.59,cash,10569.11,cash,5096.6,26.05,27.93
2000-05-15,101185.13,72073.31,cash,13453.69,cash,10570.75,cash,5087.38,24.86,27.49
2000-05-16,101198.24,72084.53,cash,13455.78,cash,10572.4,cash,5085.53,24.34,27.26
2000-05-17,101172.6,72095.75,cash,13457.87,cash,10574.04,cash,5044.93,23.98,27.16
2000-05-18,101187.56,72106.97,cash,13459.97,cash,10575.69,cash,5044.93,23.96,27.0
2000-05-19,101219.13,72118.2,cash,13462.06,cash,10577.34,cash,5061.54,25.44,26.98
2000-05-22,101261.78,72129.42,cash,13464.16,cash,10578.98,cash,5089.22,26,26.92
2000-05-23,101250.92,72140.65,cash,13466.25,cash,10580.63,cash,5063.38,25.87,26.95
2000-05-24,101251.12,72151.88,cash,13468.35,cash,10582.28,cash,5048.62,24.32,26.81
2000-05-25,101205.19,72163.11,cash,13470.45,cash,10583.92,cash,4987.71,24.58,26.73
2000-05-26,101253.39,72174.34,cash,13472.54,cash,10585.57,cash,5020.93,24.47,26.65
2000-05-30,101299.96,72196.81,cash,13476.74,cash,10588.87,cash,5037.55,23.62,26.53
2000-05-31,101300.18,72208.05,cash,13478.84,cash,10590.51,cash,5022.78,23.65,26.29
2000-06-01,101327.16,72195.6,cash,13476.51,cash,10588.69,cash,5066.36,22.36,25.83
2000-06-02,101501.49,72206.84,cash,13478.61,cash,10590.34,cash,5225.7,21.48,25.36
2000-06-05,101592.62,72218.08,cash,13480.71,cash,10591.98,cash,5301.85,22.71,25.12
2000-06-06,101678.55,72229.32,cash,13482.81,cash,10593.63,cash,5372.79,23.05,24.87
2000-06-07,101655.47,72240.56,cash,13484.9,cash,10595.28,cash,5334.72,22.48,24.54
2000-06-08,101618.46,72251.8,cash,13487.0,cash,10596.93,cash,5282.72,22.77,24.19
2000-06-09,101622.31,72263.05,cash,13489.1,cash,10598.58,cash,5271.58,22.14,23.91
2000-06-12,101691.16,72274.3,cash,13491.2,cash,10600.23,cash,5325.43,22.32,23.72
2000-06-13,101687.59,72285.55,cash,13493.3,cash,10601.88,cash,5306.86,21.67,23.56
2000-06-14,101814.02,72296.8,cash,13495.4,cash,10603.53,cash,5418.29,21.48,23.42
2000-06-15,101793.74,72308.05,cash,13497.5,cash,10605.18,cash,5383.01,20.68,23.25
2000-06-16,101797.6,72319.31,cash,13499.6,cash,10606.83,cash,5371.86,20.5,23.08
2000-06-19,101756.9,72330.56,cash,13501.71,cash,10608.48,cash,5316.15,20.63,22.84
2000-06-20,101770.98,72341.82,cash,13503.81,cash,10610.13,cash,5315.22,20.88,22.58
2000-06-21,101785.99,72353.08,cash,13505.91,cash,10611.79,cash,5315.22,20.61,22.32
2000-06-22,101790.8,72364.34,cash,13508.01,cash,10613.44,cash,5305.0,22,22.2
2000-06-23,101760.31,72375.61,cash,13510.11,cash,10615.09,cash,5259.5,22.34,22.09
2000-06-26,101790.19,72386.87,cash,13512.22,cash,10616.74,cash,5274.36,22.45,21.99
2000-06-27,101843.28,72398.14,cash,13514.32,cash,10618.39,cash,5312.43,21.8,21.9
2000-06-28,101983.67,72409.41,cash,13516.42,cash,10620.05,cash,5437.79,20.29,21.73
2000-06-29,101930.91,72420.68,cash,13518.53,cash,10621.7,cash,5370.01,19.7,21.6
