sleeve,vehicle,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days,exit_reason
XLV->XLV,GLD_DEF,2024-08-06,221.5,2025-03-04,269.01,21.4492,210,def_to_vehicle
XLV->XLV,XLV,2025-03-04,145.9574,2025-03-28,141.6898,-2.9238,24,wma_cross_below
QQQ->TQQQ,TLT_DEF,2024-06-06,84.6103,2025-05-16,82.1331,-2.9278,344,def_to_vehicle
XLE->XLE,GLD_DEF,2024-08-06,221.5,2025-09-02,320.82,44.8397,392,def_to_vehicle
XLV->XLV,GLD_DEF,2025-03-28,283.82,2025-09-08,333.66,17.5604,164,def_to_vehicle
XLE->XLE,XLE,2025-09-02,43.7147,2025-12-08,44.6598,2.1621,97,vol_exit(249.0%)
XLV->XLV,XLV,2025-09-08,135.103,2026-03-20,145.2426,7.5051,193,wma_cross_below
QQQ->TQQQ,TQQQ,2025-05-16,35.3665,2026-03-23,45.11,27.5501,311,wma_cross_below
QQQ->TQQQ,TLT_DEF,2026-03-23,84.5317,2026-04-10,85.2831,0.8889,18,def_to_vehicle
QQQ->TQQQ,TQQQ,2026-04-10,49.36,2026-05-22,77.84,57.6985,42,end_of_data
XLE->XLE,GLD_DEF,2025-12-08,387.02,2026-05-22,413.82,6.9247,165,end_of_data
XLV->XLV,GLD_DEF,2026-03-20,428.09,2026-05-22,413.82,-3.3334,63,end_of_data
